gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
PPIL1,1.0,1.0,+,+,0.2551841086082542,0.049071932770727036,,
PPIL2,1.0,1.0,-,-,0.23019964108049873,0.3486411394402042,,
PPOX,1.0,1.0,-,-,0.373900966300059,0.03994196807171883,,
PPME1,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
PPM1N,1.0,1.0,0,+,1.0,0.373900966300059,,
PPM1M,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
PPM1L,1.0,1.0,+,+,0.23019964108049873,0.1161165235168155,,
PPM1K,1.0,1.0,0,+,1.0,0.1161165235168155,,
PPM1G,1.0,1.0,+,+,0.3456483948550288,0.2232854379110335,,
PPM1F,1.0,1.0,0,+,1.0,0.373900966300059,,
PPM1E,1.0,1.0,+,+,0.5185185185185184,0.005328128424646914,,
PPM1D,1.0,1.0,+,+,0.3139306912331745,0.014720593813730035,,
PPM1B,1.0,1.0,+,+,0.7584552260429985,0.38665397231851684,,
PPM1A,1.0,1.0,+,+,0.15830242337545783,0.007490433881274519,,
PPIP5K2,1.0,1.0,+,+,0.2836006501464564,0.013235599563682695,,
PPIL4,1.0,1.0,+,+,0.3486411394402042,0.14470399860633032,,
PPIL3,1.0,1.0,+,+,0.20195079261941892,0.5122252586995419,,
PPP2R3C,1.0,1.0,+,+,0.31993774129527297,0.011169220619366633,,
PPP2R4,1.0,1.0,-,-,0.007005772865622201,0.000902079527931718,,
PRC1,1.0,1.0,-,-,0.025386447936615292,0.1475177667972362,,
PRDX1,1.0,1.0,-,-,0.3923648684347061,0.007326838074482051,,
PRDM8,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
PRDM4,1.0,1.0,+,+,0.1699899506484637,0.04054553267144812,,
PRDM2,1.0,1.0,-,+,0.5185185185185183,0.6433299631818633,,
PRDM15,1.0,1.0,-,0,0.373900966300059,1.0,,
PRDM11,1.0,1.0,0,-,1.0,0.373900966300059,,
PRCP,1.0,1.0,+,+,0.2720391804532659,0.20987507129406094,,
PRCC,1.0,1.0,0,+,1.0,0.41072013418652786,,
PRDX3,1.0,1.0,-,-,0.18784898810656617,0.0707050469645076,,
PPP6R1,1.0,1.0,-,-,0.5185185185185183,0.1011915072182954,,
PPP6C,1.0,1.0,+,+,0.2755888884208916,0.007490433881274519,,
PPP5C,1.0,1.0,-,-,0.034109423167409635,0.08966251702034525,,
PPP4R4,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
PPP4R2,1.0,1.0,+,+,0.1011915072182954,0.5185185185185183,,
PPP4R1L,1.0,1.0,-,0,0.373900966300059,1.0,,
PPP4R1,1.0,1.0,-,+,0.06971580714370941,0.3869116417179261,,
PPP4C,1.0,1.0,-,-,0.6300347750967881,0.37603691537641665,,
PPP3CC,1.0,1.0,+,+,0.5185185185185183,0.1161165235168155,,
PPP3CA,1.0,1.0,-,-,0.6071675777128369,0.12417023554784111,,
PPP2R5E,1.0,1.0,+,+,0.29425636802442634,0.06858710562414266,,
PPP2R5D,1.0,1.0,-,-,0.0003881713384940143,0.0030163829306506947,,
PPP2R5C,1.0,1.0,-,+,0.44759530860920416,0.007966202452608376,,
PPP2R5B,1.0,1.0,0,+,1.0,0.373900966300059,,
PPP2R5A,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
PPP3R1,1.0,1.0,0,-,1.0,0.7182599416342984,,
PPP6R3,1.0,1.0,+,-,0.5301776477578174,0.7202059081685591,,
PPPDE1,1.0,1.0,+,+,0.069933989374674,0.034109423167409614,,
PRAF2,1.0,1.0,-,-,0.44561438824861255,0.8120176695086383,,
PRADC1,1.0,1.0,+,+,0.4168655304065087,0.3486411394402042,,
PQLC3,1.0,1.0,0,+,1.0,0.23019964108049873,,
PQLC2,1.0,1.0,+,+,0.1161165235168155,0.373900966300059,,
PQLC1,1.0,1.0,-,-,0.007490433881274529,0.007490433881274529,,
PQBP1,1.0,1.0,-,-,0.01288752844939495,0.0017867201973070215,,
PPY,1.0,1.0,-,0,0.373900966300059,1.0,,
PPWD1,1.0,1.0,+,+,0.4021135553222555,0.02321515799127218,,
PPTC7,1.0,1.0,+,+,0.11611652351681558,0.11611652351681558,,
PPT2,1.0,1.0,+,-,0.3076413223425041,0.8082734821316253,,
PPT1,1.0,1.0,+,+,0.19337772956725124,0.05504060895249949,,
PPRC1,1.0,1.0,+,+,0.23019964108049873,0.6433299631818633,,
PLEKHJ1,1.0,1.0,0,+,1.0,0.6130111132661793,,
NTM,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4473,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4469,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR4489,1.0,1.0,-,-,0.6695637767702826,0.1165061576797128,,
MIR4498,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR4492,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4429,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4324,1.0,1.0,+,+,0.373900966300059,0.007590896494246677,,
MIR4461,1.0,1.0,-,-,0.373900966300059,0.8658677318886003,,
MIR4453,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4449,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4442,1.0,1.0,-,-,0.776880388909487,0.8548640268505533,,
MIR4513,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR4667,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4665,1.0,1.0,-,-,0.20510645520407753,0.20510645520407753,,
MIR4658,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4657,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR4656,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR4659A,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4670,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4687,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4683,1.0,1.0,-,-,0.6397991539252619,0.3739009663000589,,
MIR4680,1.0,1.0,-,-,0.9762700605961161,0.4096494934539515,,
MIR4676,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4674,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4648,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4522,1.0,1.0,-,-,0.3739009663000589,0.3739009663000589,,
MIR4521,1.0,1.0,+,+,0.3327374885385151,0.40231491151966914,,
MIR4519,1.0,1.0,-,+,0.9171691885156364,0.16852300282085136,,
MIR4517,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR4647,1.0,1.0,-,-,0.0994813206588183,0.003349907975921578,,
MIR4639,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4691,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR378D2,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR3940,1.0,1.0,-,-,0.8545758077998422,0.373900966300059,,
MIR3939,1.0,1.0,+,+,0.373900966300059,0.11625810217175826,,
MIR3918,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR3917,1.0,1.0,-,+,0.4513592725492046,0.8875602677510589,,
MIR3916,1.0,1.0,-,-,0.9203650013687703,0.8655080413352646,,
MIR3685,1.0,1.0,0,+,1.0,0.16167684228601337,,
MIR3682,1.0,1.0,-,-,0.9421158208984617,0.566063396825191,,
MIR3679,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR3676,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR3661,1.0,1.0,+,+,0.7641540098952784,0.9674041400924613,,
MIR3944,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4297,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4295,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4319,1.0,1.0,0,+,1.0,0.13011052242973822,,
MIR3975,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR4263,1.0,1.0,+,-,0.9204129407354404,0.3739009663000589,,
MIR557,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR551B,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR558,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR590,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR573,1.0,1.0,+,+,0.3739009663000587,0.373900966300059,,
MIR570,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR568,1.0,1.0,-,-,0.526824681622885,0.08533393418702236,,
MIR564,1.0,1.0,-,-,0.6943535243167411,0.881847105241489,,
MIR548J,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR545,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR548F2,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR593,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR671,1.0,1.0,-,+,0.3852247883225708,0.36303832459465846,,
MIR765,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR760,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
MIR744,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR708,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR7-1,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR647,1.0,1.0,+,+,0.26626962467940907,0.5191627578728344,,
MIR645,1.0,1.0,+,+,0.373900966300059,0.3739009663000589,,
MIR643,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR612,1.0,1.0,0,+,1.0,0.3739009663000589,,
MIR611,1.0,1.0,-,-,0.28288658016260304,0.1886166783859876,,
MIR600,1.0,1.0,-,-,0.41266036000570383,0.45297350060150754,,
MIR639,1.0,1.0,+,+,0.22298295781488434,0.373900966300059,,
MIR637,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR636,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR635,1.0,1.0,-,-,0.3739009663000589,0.3739009663000589,,
MIR632,1.0,1.0,-,-,0.027586816061996908,0.023536392418758486,,
MIR630,1.0,1.0,-,-,0.7689680266340628,0.393584671481807,,
MIR628,1.0,1.0,-,-,0.3739009663000589,0.6193927827246719,,
MIR4754,1.0,1.0,-,-,0.19156755338405862,0.1332903590693892,,
MIR4751,1.0,1.0,+,+,0.19243939397938628,0.14192744777405542,,
MIR4749,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MIR4746,1.0,1.0,+,0,0.1163168423149547,1.0,,
MIR4745,1.0,1.0,-,-,0.5054514476167793,0.5333886563761508,,
MIR4775,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
MIR4767,1.0,1.0,+,+,0.373900966300059,0.13026794859031088,,
MIR4741,1.0,1.0,-,-,0.4661161998326513,0.04852733008609002,,
MIR4740,1.0,1.0,-,+,0.3739009663000589,0.620315143971599,,
MIR4709,1.0,1.0,+,+,0.9335255541594839,0.8843749311881529,,
MIR4707,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR4700,1.0,1.0,+,+,0.14450454181737765,0.004542498366335402,,
MIR4697,1.0,1.0,+,+,0.373900966300059,0.3739009663000589,,
MIR4737,1.0,1.0,+,+,0.11637796297772209,0.13011995650747846,,
MIR4723,1.0,1.0,+,+,0.3739009663000589,0.373900966300059,,
MIR4721,1.0,1.0,+,+,0.4324170624013219,0.6086531814853786,,
MIR4720,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR507,1.0,1.0,0,+,1.0,0.11631290567093013,,
MIR5047,1.0,1.0,-,+,0.23757325583397254,0.299441473528682,,
MIR4803,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR4800,1.0,1.0,0,+,1.0,0.5347370296388322,,
MIR497HG,1.0,1.0,-,-,0.23019964108049873,0.23019964108049873,,
MIR3658,1.0,1.0,-,-,0.032338234786821955,0.10713666880513026,,
MIR3655,1.0,1.0,-,-,0.4161285280019156,0.0012219277156210507,,
MIB2,1.0,1.0,-,-,0.45725253597220444,0.33485228419425334,,
MIB1,1.0,1.0,+,+,0.5018993932447643,0.042315655838864506,,
MIAT,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
MIA3,1.0,1.0,+,+,0.13177756749413536,0.025721420742506516,,
MIA,1.0,1.0,-,-,0.6778688286992494,0.373900966300059,,
MGST3,1.0,1.0,-,0,0.2878641347266908,1.0,,
MICA,1.0,1.0,-,-,0.6433299631818633,0.373900966300059,,
MGST2,1.0,1.0,-,-,0.09126024444398578,0.07392618853329194,,
MGMT,1.0,1.0,+,0,0.7246586364960956,1.0,,
MGEA5,1.0,1.0,+,+,0.4418233076836301,0.021311641128756727,,
MGC72080,1.0,1.0,-,-,0.7952550084538409,0.1011915072182954,,
MGC57346,1.0,1.0,+,+,0.1011915072182954,0.5185185185185183,,
MGST1,1.0,1.0,+,+,0.15518326313925,0.8388777749227693,,
MGC45800,1.0,1.0,-,+,0.5185185185185183,0.373900966300059,,
MICAL1,1.0,1.0,-,-,0.148148148148148,0.25081535976844566,,
MICAL3,1.0,1.0,+,-,0.373900966300059,0.373900966300059,,
MINA,1.0,1.0,+,-,0.8149020114591813,0.6433299631818633,,
MIMT1,1.0,1.0,-,+,0.04742065558431957,0.6433299631818633,,
MIIP,1.0,1.0,0,-,1.0,0.4917670010221689,,
MIF4GD,1.0,1.0,-,-,0.22538844592985055,0.007182328566300193,,
MIF,1.0,1.0,+,-,0.3905806201666062,0.023695156415316276,,
MIER3,1.0,1.0,+,+,0.23019964108049873,0.1011915072182954,,
MIER2,1.0,1.0,-,+,0.373900966300059,0.373900966300059,,
MIER1,1.0,1.0,+,0,0.373900966300059,1.0,,
MID1IP1,1.0,1.0,-,-,0.04742065558431957,0.007762602689870699,,
MID1,1.0,1.0,+,+,0.6638042024443209,0.019103662392206074,,
MICALL2,1.0,1.0,-,-,0.5185185185185183,0.5185185185185183,,
MICALL1,1.0,1.0,-,0,0.373900966300059,1.0,,
MIDN,1.0,1.0,-,-,0.148148148148148,0.770381919699268,,
MGAT4A,1.0,1.0,0,+,1.0,0.01613008990009254,,
MGAT2,1.0,1.0,+,+,0.373900966300059,0.05723523110663152,,
MGAT1,1.0,1.0,-,-,0.29425636802442634,0.373900966300059,,
MGA,1.0,1.0,+,+,0.20510645520407753,0.025721420742506516,,
MFSD8,1.0,1.0,+,0,0.373900966300059,1.0,,
MGAT4B,1.0,1.0,-,-,0.0005620036227159911,0.007490433881274526,,
MFSD5,1.0,1.0,+,-,0.7246586364960955,0.7375970929190546,,
MFSD3,1.0,1.0,-,-,0.6433299631818634,0.5185185185185183,,
MFSD2A,1.0,1.0,-,-,0.5614380442505257,0.001970910938347841,,
MFSD11,1.0,1.0,+,+,0.23019964108049873,0.1011915072182954,,
MFSD10,1.0,1.0,-,-,0.013235599563682695,0.0030163829306506947,,
MFSD1,1.0,1.0,+,+,0.2745766290948482,0.004812678330044224,,
MFSD6,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
MGAT5,1.0,1.0,+,+,0.1011915072182954,0.01613008990009254,,
MGC2752,1.0,1.0,-,-,0.6433299631818634,0.6433299631818634,,
MGC23284,1.0,1.0,+,+,0.373900966300059,0.11611652351681558,,
MGC16703,1.0,1.0,+,0,0.373900966300059,1.0,,
MGC16275,1.0,1.0,+,+,0.11611652351681558,0.373900966300059,,
MGC16142,1.0,1.0,0,+,1.0,0.23019964108049873,,
MGC16121,1.0,1.0,+,+,0.373900966300059,0.373900966300059,,
MGC12916,1.0,1.0,+,+,0.6917613009591068,0.08655256787169693,,
MINK1,1.0,1.0,+,0,0.12100391941035303,1.0,,
MINPP1,1.0,1.0,+,+,0.5879143098673623,0.04742065558431957,,
MIOS,1.0,1.0,+,+,0.1447039986063304,0.02321515799127218,,
MIR1248,1.0,1.0,-,-,0.32230480975304054,0.3230468682623407,,
MIR1247,1.0,1.0,-,+,0.9042988982224583,0.024493482909647576,,
MIR1245,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR1244-2,1.0,1.0,-,+,0.7952550084538409,0.30805073567366303,,
MIR124-2,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR1251,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR127,1.0,1.0,-,-,0.373900966300059,0.7466860938834868,,
MIR1260B,1.0,1.0,-,0,0.3739009663000589,1.0,,
MIR125B1,1.0,1.0,-,-,0.3739009663000589,0.3739009663000589,,
MIR103A2,1.0,1.0,-,-,0.1201794537237575,0.3492707767363504,,
MIR100HG,1.0,1.0,+,+,0.06676654481198813,0.06676654481198813,,
MIPOL1,1.0,1.0,0,+,1.0,0.373900966300059,,
MIPEP,1.0,1.0,+,+,0.013235599563682695,0.1011915072182954,,
MIR1178,1.0,1.0,+,0,0.373900966300059,1.0,,
MIR1206,1.0,1.0,-,-,0.16619827445050633,0.5880862111323284,,
MIR1204,1.0,1.0,-,-,0.45708428736210455,0.4993151514402639,,
MIR1182,1.0,1.0,+,+,0.12920298463941007,0.3211317770230741,,
MIR1181,1.0,1.0,-,-,0.24712322333639408,0.023171251945710968,,
MFN2,1.0,1.0,+,+,0.5879143098673623,0.5614380442505257,,
MFI2-AS1,1.0,1.0,-,-,0.04742065558431957,0.1161165235168155,,
MECP2,1.0,1.0,-,-,0.1011915072182954,0.23019964108049873,,
MEAF6,1.0,1.0,+,+,0.1544885447257747,0.02727732531038352,,
MEA1,1.0,1.0,-,-,0.31880843525936164,0.24574942994292295,,
ME3,1.0,1.0,-,-,0.04742065558431957,0.5185185185185183,,
ME2,1.0,1.0,+,+,0.4395115433889627,0.03759011151114646,,
ME1,1.0,1.0,+,+,0.6433299631818633,0.013235599563682695,,
MECR,1.0,1.0,+,+,0.3486411394402042,0.11611652351681558,,
MDP1,1.0,1.0,-,-,0.02321515799127218,0.019830123540100802,,
MDM4,1.0,1.0,+,-,0.778049548900021,0.1161165235168155,,
MDM2,1.0,1.0,+,+,0.11447718951147005,0.1523174113913015,,
MDM1,1.0,1.0,+,+,0.46852713556223086,0.025721420742506516,,
MDK,1.0,1.0,-,-,0.0391629536407602,0.011919639060739921,,
MDH2,1.0,1.0,+,+,0.4069401997057841,0.3568173512767619,,
MDH1B,1.0,1.0,+,+,0.23019964108049873,0.373900966300059,,
MDH1,1.0,1.0,+,-,0.6086531814853786,0.5822848216890634,,
MDGA2,1.0,1.0,+,-,0.5185185185185183,0.373900966300059,,
MDN1,1.0,1.0,+,+,0.1011915072182954,0.1011915072182954,,
MED1,1.0,1.0,+,+,0.401787663116181,0.06676654481198813,,
MED10,1.0,1.0,+,+,0.5848463820083383,0.3560104559493424,,
MED11,1.0,1.0,-,-,0.013235599563682695,0.21930692358453638,,
MED28,1.0,1.0,+,+,0.37915806106937305,0.015799848495268172,,
MED27,1.0,1.0,+,+,0.7676439152389032,0.3678540559704843,,
MED26,1.0,1.0,+,+,0.1161165235168155,0.6778688286992494,,
MED25,1.0,1.0,-,-,0.10119150721829552,0.1161165235168155,,
MED24,1.0,1.0,-,-,0.860830175457718,0.9678858045828065,,
MED23,1.0,1.0,+,0,0.4216482551761943,1.0,,
MED22,1.0,1.0,-,-,0.012912536283290012,0.002755309104275058,,
MED21,1.0,1.0,+,+,0.10386425813297837,0.005087301104750552,,
MED20,1.0,1.0,+,+,0.2524005486968447,0.05504060895249949,,
MED19,1.0,1.0,+,+,0.373900966300059,0.039737619205779014,,
MED18,1.0,1.0,-,-,0.042315655838864506,0.033471744961631446,,
MED17,1.0,1.0,+,+,0.15830242337545783,0.021311641128756727,,
MED16,1.0,1.0,-,-,0.8202935816255909,0.6433299631818633,,
MED15,1.0,1.0,-,+,0.2745766290948481,0.8297991390537874,,
MED14,1.0,1.0,+,+,0.34649037019369594,0.007182328566300193,,
MED13L,1.0,1.0,+,+,0.1011915072182954,0.04742065558431957,,
MED13,1.0,1.0,+,+,0.1840740319505769,0.033471744961631446,,
MED12L,1.0,1.0,-,-,0.23019964108049873,0.23019964108049873,,
MED12,1.0,1.0,+,+,0.2878641347266908,0.2878641347266908,,
MDGA1,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MED29,1.0,1.0,0,-,1.0,0.5185185185185183,,
MDFIC,1.0,1.0,-,-,0.1011915072182954,0.373900966300059,,
MDC1,1.0,1.0,+,+,0.373900966300059,0.43533094251437593,,
MCHR1,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MCF2L-AS1,1.0,1.0,-,+,0.373900966300059,0.5185185185185183,,
MCF2L,1.0,1.0,+,+,0.5185185185185183,0.1011915072182954,,
MCCC2,1.0,1.0,+,+,0.11611652351681558,0.1011915072182954,,
MCC,1.0,1.0,+,+,0.007490433881274526,0.01613008990009254,,
MCAT,1.0,1.0,+,-,0.4917670010221689,0.15830242337545783,,
MCART6,1.0,1.0,+,+,0.5185185185185183,0.1161165235168155,,
MCAM,1.0,1.0,-,0,0.11611652351681558,1.0,,
MCCC1,1.0,1.0,+,+,0.7415210563082062,0.04742065558431962,,
MCL1,1.0,1.0,-,-,0.014172594972725121,0.4266859408182544,,
MCM2,1.0,1.0,+,+,0.21707925294276165,0.19264024967202878,,
MCU,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
MCTS1,1.0,1.0,0,+,1.0,0.373900966300059,,
MCTP1,1.0,1.0,-,0,0.04742065558431962,1.0,,
MCRS1,1.0,1.0,-,-,0.009374849683907845,0.03798808638687505,,
MCPH1,1.0,1.0,+,+,0.373900966300059,0.02489616346022275,,
MCMBP,1.0,1.0,+,+,0.09126024444398567,0.013011948880740599,,
MCM9,1.0,1.0,+,+,0.02489616346022275,0.0241101105513909,,
MCM8,1.0,1.0,+,+,0.04742065558431962,0.02489616346022276,,
MCM7,1.0,1.0,-,-,0.349381104266638,0.025073869846639688,,
MCM6,1.0,1.0,+,+,0.41845946199047623,0.1265314439467715,,
MCM5,1.0,1.0,+,+,0.5360389389750038,0.3364260775893059,,
MCM4,1.0,1.0,+,+,0.15735256165790956,0.3383783092361335,,
MCM3AP-AS1,1.0,1.0,+,+,0.5185185185185183,0.11611652351681558,,
MCM3AP,1.0,1.0,+,+,0.373900966300059,0.15830242337545783,,
MCM3,1.0,1.0,+,+,0.2564349645483265,0.2145128688540176,,
MDFI,1.0,1.0,-,-,0.14470399860633032,0.25643496454832637,,
MIR1276,1.0,1.0,+,0,0.373900966300059,1.0,,
MED30,1.0,1.0,+,-,0.8512370141369224,0.6086531814853786,,
MED4,1.0,1.0,+,+,0.23086479101357868,0.024764921392107665,,
METTL2A,1.0,1.0,-,-,0.373900966300059,0.373900966300059,,
METTL23,1.0,1.0,+,-,0.6383956736050731,0.6770409430266032,,
METTL22,1.0,1.0,+,+,0.2878641347266908,0.373900966300059,,
METTL21D,1.0,1.0,+,+,0.5185185185185184,0.10119150721829531,,
METTL21A,1.0,1.0,+,+,0.04742065558431957,0.1011915072182954,,
METTL20,1.0,1.0,-,+,0.7246586364960956,0.6778688286992492,,
METTL19,1.0,1.0,0,+,1.0,0.373900966300059,,
METTL2B,1.0,1.0,+,+,0.3739009663000589,0.6433299631818634,,
METTL18,1.0,1.0,+,+,0.1840740319505769,0.025386447936615292,,
METTL16,1.0,1.0,+,+,0.373900966300059,0.5185185185185183,,
METTL14,1.0,1.0,+,+,0.2836006501464564,0.11447718951147005,,
METTL13,1.0,1.0,+,+,0.15183454328291035,0.025481481481481456,,
METTL12,1.0,1.0,0,-,1.0,0.23019964108049873,,
METTL11A,1.0,1.0,+,+,0.2507126945373046,0.3367587289977738,,
METTL10,1.0,1.0,+,+,0.2878641347266908,0.1161165235168155,,
METTL1,1.0,1.0,+,+,0.3486411394402042,0.3560104559493424,,
METTL17,1.0,1.0,+,+,0.1317775674941354,0.15830242337545783,,
METTL3,1.0,1.0,+,+,0.607167577712837,0.13470193531896707,,
METTL4,1.0,1.0,+,+,0.1011915072182954,0.01613008990009254,,
METTL5,1.0,1.0,+,+,0.11385610402334329,0.01689627262701313,,
MFI2,1.0,1.0,-,+,0.5185185185185183,0.373900966300059,,
MFHAS1,1.0,1.0,+,-,0.373900966300059,0.373900966300059,,
MFGE8,1.0,1.0,-,-,0.006858160497197012,0.0007754904994968333,,
MFF,1.0,1.0,+,+,0.2605745473680253,0.002243306286326135,,
MFAP4,1.0,1.0,-,+,0.373900966300059,0.5185185185185183,,
MFAP3,1.0,1.0,+,+,0.373900966300059,0.6778688286992494,,
MFAP1,1.0,1.0,+,+,0.3077664709956193,0.04782346421061725,,
MEX3D,1.0,1.0,-,-,0.02489616346022275,0.007933091566320574,,
MEX3C,1.0,1.0,+,+,0.2919738428453548,0.329460330781903,,
MEX3B,1.0,1.0,-,+,0.6778688286992494,0.23019964108049873,,
MEX3A,1.0,1.0,-,-,0.4917670010221689,0.7780495489000208,,
METTL7B,1.0,1.0,-,-,0.5185185185185183,0.1161165235168155,,
METTL7A,1.0,1.0,+,+,0.7676439152389032,0.1011915072182954,,
METTL6,1.0,1.0,+,+,0.06676654481198815,0.1317775674941354,,
METRNL,1.0,1.0,-,+,0.10495735314493328,0.5658559708448319,,
MED31,1.0,1.0,+,+,0.6778688286992494,0.033471744961631446,,
METRN,1.0,1.0,+,+,0.7246586364960956,0.8786007456998406,,
METAP1,1.0,1.0,+,+,0.1840740319505769,0.06333834229828193,,
MEGF9,1.0,1.0,0,+,1.0,0.3486411394402042,,
MEGF8,1.0,1.0,-,-,0.373900966300059,0.11611652351681558,,
MEGF6,1.0,1.0,-,0,0.373900966300059,1.0,,
MEGF11,1.0,1.0,-,0,0.373900966300059,1.0,,
MEGF10,1.0,1.0,+,+,0.11611652351681558,0.025721420742506516,,
MEG8,1.0,1.0,0,+,1.0,0.373900966300059,,
MEF2D,1.0,1.0,-,-,0.11611652351681558,0.11611652351681558,,
MEF2BNB,1.0,1.0,-,-,0.38691164171792636,0.4917670010221689,,
MEF2B,1.0,1.0,-,-,0.06676654481198808,0.1161165235168155,,
MEF2A,1.0,1.0,+,+,0.5185185185185183,0.1011915072182954,,
MED9,1.0,1.0,-,-,0.14814814814814806,0.29425636802442634,,
MED8,1.0,1.0,+,+,0.6766746479019474,0.09930068321372677,,
MED7,1.0,1.0,+,+,0.1056610127688882,0.004181072135640301,,
MED6,1.0,1.0,+,+,0.4266859408182544,0.20510645520407741,,
MEIG1,1.0,1.0,+,+,0.20615125863731898,0.05504060895249944,,
MEIS1,1.0,1.0,+,+,0.2524005486968447,0.015799848495268172,,
MEST,1.0,1.0,-,-,0.0019214549623302547,0.003563220646344059,,
MESP1,1.0,1.0,+,0,0.6433299631818633,1.0,,
MESDC2,1.0,1.0,+,+,0.820293581625591,0.18900365845517536,,
MESDC1,1.0,1.0,+,+,0.670179973318781,0.06467689395635304,,
MEPCE,1.0,1.0,+,+,0.22213636316365107,0.3869116417179261,,
MEN1,1.0,1.0,+,0,0.373900966300059,1.0,,
MELK,1.0,1.0,+,+,0.23779614445826533,0.15830242337545783,,
MEIS3P1,1.0,1.0,0,+,1.0,0.373900966300059,,
MEIS3,1.0,1.0,-,-,0.0013731189157882052,0.0028911014612275306,,
METAP2,1.0,1.0,+,+,0.13537611064233682,0.04064208872049838,,
MIR1279,1.0,1.0,-,-,0.5430740875844648,0.16387915286939506,,
MIR3146,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR3140,1.0,1.0,0,+,1.0,0.373900966300059,,
MIR301B,1.0,1.0,+,0,0.3739009663000589,1.0,,
MIR2861,1.0,1.0,0,+,1.0,0.3739009663000589,,
MIR3064,1.0,1.0,+,+,0.44669416127724354,0.1190029161675831,,
MIR30D,1.0,1.0,-,-,0.4169702321218509,0.12017424928226049,,
MIR30A,1.0,1.0,0,+,1.0,0.3739009663000589,,
MIR3610,1.0,1.0,+,-,0.7030740767959692,0.5390795735253242,,
MIR3607,1.0,1.0,0,+,1.0,0.12994316775920542,,
MIR340,1.0,1.0,0,+,1.0,0.373900966300059,,
