gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
C1QL4,0.0,0.0,-,-,0.0,0.0,C1q and tumor necrosis factor-related protein 11 C1q/TNF-related protein 11 complement component 1 q subcomponent like 4,Predicted to enable identical protein binding activity. Predicted to act upstream of or within negative regulation of ERK1 and ERK2 cascade; negative regulation of fat cell differentiation; and negative regulation of fibroblast proliferation. Predicted to be located in extracellular space. Predicted to be part of collagen trimer. [provided by Alliance of Genome Resources Apr 2022]
RASL11A,0.0,0.0,-,-,0.0,0.0,,
RDH5,0.0,0.0,-,-,0.0,0.0,11-cis RDH 11-cis RoDH 9-cis retinol dehydrogenase 9-cis-retinol specific dehydrogenase retinol dehydrogenase 1 retinol dehydrogenase 5 (11-cis and 9-cis) retinol dehydrogenase 5 (11-cis/9-cis) short chain dehydrogenase/reductase family 9C member 5,This gene encodes an enzyme belonging to the short-chain dehydrogenases/reductases (SDR) family. This retinol dehydrogenase functions to catalyze the final step in the biosynthesis of 11-cis retinaldehyde which is the universal chromophore of visual pigments. Mutations in this gene cause autosomal recessive fundus albipunctatus a rare form of night blindness that is characterized by a delay in the regeneration of cone and rod photopigments. Alternative splicing results in multiple transcript variants. Read-through transcription also exists between this gene and the neighboring upstream BLOC1S1 (biogenesis of lysosomal organelles complex-1 subunit 1) gene. [provided by RefSeq Dec 2010]
LRRC37B,0.0,0.0,+,+,0.0,0.0,C66 SLIT-like testicular protein,Predicted to be integral component of membrane. [provided by Alliance of Genome Resources Apr 2022]
PLEKHM1,0.0,0.0,-,-,0.0,0.0,162 kDa adapter protein PH domain-containing family M member 1 pleckstrin homology domain containing family M (with RUN domain) member 1,The protein encoded by this gene is essential for bone resorption and may play a critical role in vesicular transport in the osteoclast. Mutations in this gene are associated with autosomal recessive osteopetrosis type 6 (OPTB6). Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq Sep 2009]
ZNF687,0.0,0.0,-,-,0.0,0.0,,
C18orf19,0.0,0.0,+,+,0.0,0.0,uncharacterized protein C18orf19,Predicted to be located in cytoplasm. Predicted to be active in mitochondrion. [provided by Alliance of Genome Resources Apr 2022]
C6orf155,0.0,0.0,-,+,0.0,0.0,,
CLEC2D,0.0,0.0,-,-,0.0,0.0,C-type lectin related f C-type lectin superfamily 2 member D LLT-1 lectin-like NK cell receptor lectin-like transcript 1 osteoclast inhibitory lectin,This gene encodes a member of the natural killer cell receptor C-type lectin family. The encoded protein inhibits osteoclast formation and contains a transmembrane domain near the N-terminus as well as the C-type lectin-like extracellular domain. Several alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq Oct 2010]
ATF7IP2,0.0,0.0,+,+,0.0,0.0,ATF7-interacting protein 2 MBD1-containing chromatin associated factor 2,Predicted to be located in nucleus. [provided by Alliance of Genome Resources Apr 2022]
ETS1,0.0,0.0,-,-,0.0,0.0,Avian erythroblastosis virus E26 (v-ets) oncogene homolog-1 v-ets avian erythroblastosis virus E2 oncogene homolog 1 v-ets avian erythroblastosis virus E26 oncogene homolog 1,This gene encodes a member of the ETS family of transcription factors which are defined by the presence of a conserved ETS DNA-binding domain that recognizes the core consensus DNA sequence GGAA/T in target genes. These proteins function either as transcriptional activators or repressors of numerous genes and are involved in stem cell development cell senescence and death and tumorigenesis. Alternatively spliced transcript variants encoding different isoforms have been described for this gene.[provided by RefSeq Jul 2011]
FAM13A,0.0,0.0,+,+,0.0,0.0,FAM13A1_v2 protein family with sequence similarity 13 member A1,Predicted to enable GTPase activator activity. Predicted to be involved in regulation of small GTPase mediated signal transduction. Predicted to be located in cytosol. Implicated in chronic obstructive pulmonary disease. [provided by Alliance of Genome Resources Apr 2022]
JPH4,0.0,0.0,-,-,0.0,0.0,JP-4 junctophilin like 1 junctophilin-like 1 protein,This gene encodes a member of the junctophilin family of transmembrane proteins that are involved in the formation of the junctional membrane complexes between the plasma membrane and the endoplasmic/sarcoplasmic reticulum in excitable cells. The encoded protein contains a conserved N-terminal repeat region called the membrane occupation and recognition nexus sequence that is found in other members of the junctophilin family. Alternative splicing results in multiple transcript variants. [provided by RefSeq Mar 2009]
WTIP,0.0,0.0,-,-,0.0,0.0,Wilms tumor 1 interacting protein,Predicted to enable transcription corepressor activity. Involved in several processes including negative regulation of hippo signaling; positive regulation of gene silencing by miRNA; and response to hypoxia. Acts upstream of or within gene silencing by miRNA. Located in P-body. [provided by Alliance of Genome Resources Apr 2022]
CHAC1,0.0,0.0,-,-,0.0,0.0,ChaC cation transport regulator homolog 1 ChaC cation transport regulator-like 1 blocks Notch protein botch gamma-GCG 1 gamma-GCT acting on glutathione homolog 1,This gene encodes a member of the gamma-glutamylcyclotransferase family of proteins. The encoded protein has been shown to promote neuronal differentiation by deglycination of the Notch receptor which prevents receptor maturation and inhibits Notch signaling. This protein may also play a role in the unfolded protein response and in regulation of glutathione levels and oxidative balance in the cell. Elevated expression of this gene may indicate increased risk of cancer recurrence among breast and ovarian cancer patients. [provided by RefSeq Sep 2016]
C17orf104,0.0,0.0,+,+,0.0,0.0,meiosis-specific with coiled-coil domain protein,Predicted to be involved in several processes including gamete generation; germline cell cycle switching mitotic to meiotic cell cycle; and mRNA stabilization. Predicted to be active in cytoplasm and nucleus. [provided by Alliance of Genome Resources Apr 2022]
